sampling_strategy,value_selector,selector,source,defense_method,sanitizer,poison_recall_percent_count,poison_recall_percent_mean,poison_recall_percent_std,poison_recall_percent_min,poison_recall_percent_max,removed_poisoned_rows_count,removed_poisoned_rows_mean,removed_poisoned_rows_std,removed_poisoned_rows_min,removed_poisoned_rows_max,removed_clean_rows_count,removed_clean_rows_mean,removed_clean_rows_std,removed_clean_rows_min,removed_clean_rows_max,removed_rows_count,removed_rows_mean,removed_rows_std,removed_rows_min,removed_rows_max,clean_false_positive_rate_percent_count,clean_false_positive_rate_percent_mean,clean_false_positive_rate_percent_std,clean_false_positive_rate_percent_min,clean_false_positive_rate_percent_max,poison_removal_precision_percent_count,poison_removal_precision_percent_mean,poison_removal_precision_percent_std,poison_removal_precision_percent_min,poison_removal_precision_percent_max,attack_effectiveness_percent_count,attack_effectiveness_percent_mean,attack_effectiveness_percent_std,attack_effectiveness_percent_min,attack_effectiveness_percent_max,backdoored_clean_accuracy_percent_count,backdoored_clean_accuracy_percent_mean,backdoored_clean_accuracy_percent_std,backdoored_clean_accuracy_percent_min,backdoored_clean_accuracy_percent_max
distribution_based_distance,min_population_new,MinPopulation*,Severi-derived,spectral_signature,Spectral Signature,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,1422.0,,1422,1422,1,658.0,,658,658,1,2080.0,,2080,2080,1,0.6456043956043955,,0.6456043956043955,0.6456043956043955,1,68.36538461538461,,68.36538461538461,68.36538461538461,1,99.17752580808936,,99.17752580808936,99.17752580808936,1,98.8525977322728,,98.8525977322728,98.8525977322728
distribution_based_distance,quantile_95,Quantile95,This work,hdbscan,HDBSCAN,1,43.84615384615385,,43.84615384615385,43.84615384615385,1,912.0,,912,912,1,42958.0,,42958,42958,1,43870.0,,43870,43870,1,42.14874411302983,,42.14874411302983,42.14874411302983,1,2.0788693868247092,,2.0788693868247092,2.0788693868247092,1,96.82179725841937,,96.82179725841937,96.82179725841937,1,98.81536639025217,,98.81536639025217,98.81536639025217
distribution_based_distance,quantile_95,Quantile95,This work,isolation_forest,Isolation Forest,1,30.33653846153846,,30.33653846153846,30.33653846153846,1,631.0,,631,631,1,1448.0,,1448,1448,1,2079.0,,2079,2079,1,1.4207221350078494,,1.4207221350078494,1.4207221350078494,1,30.35113035113035,,30.35113035113035,30.35113035113035,1,96.82179725841937,,96.82179725841937,96.82179725841937,1,98.81536639025217,,98.81536639025217,98.81536639025217
distribution_based_distance,quantile_95,Quantile95,This work,spectral_signature,Spectral Signature,1,9.903846153846153,,9.903846153846153,9.903846153846153,1,206.0,,206,206,1,1874.0,,1874,1874,1,2080.0,,2080,2080,1,1.838697017268446,,1.838697017268446,1.838697017268446,1,9.903846153846153,,9.903846153846153,9.903846153846153,1,96.82179725841937,,96.82179725841937,96.82179725841937,1,98.81536639025217,,98.81536639025217,98.81536639025217
random,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,hdbscan,HDBSCAN,1,59.66346153846154,,59.66346153846154,59.66346153846154,1,1241.0,,1241,1241,1,44886.0,,44886,44886,1,46127.0,,46127,46127,1,44.04042386185243,,44.04042386185243,44.04042386185243,1,2.690398248314436,,2.690398248314436,2.690398248314436,1,15.643932983584364,,15.643932983584364,15.643932983584364,1,98.62413267896429,,98.62413267896429,98.62413267896429
random,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,isolation_forest,Isolation Forest,1,100.0,,100.0,100.0,1,2080.0,,2080,2080,1,0.0,,0,0,1,2080.0,,2080,2080,1,0.0,,0.0,0.0,1,100.0,,100.0,100.0,1,15.643932983584364,,15.643932983584364,15.643932983584364,1,98.62413267896429,,98.62413267896429,98.62413267896429
random,argmin_Nv_sum_abs_shap,CountAbsSHAP*,Severi-derived,spectral_signature,Spectral Signature,1,0.19230769230769232,,0.19230769230769232,0.19230769230769232,1,4.0,,4,4,1,2076.0,,2076,2076,1,2080.0,,2080,2080,1,2.0368916797488223,,2.0368916797488223,2.0368916797488223,1,0.19230769230769232,,0.19230769230769232,0.19230769230769232,1,15.643932983584364,,15.643932983584364,15.643932983584364,1,98.62413267896429,,98.62413267896429,98.62413267896429
random,benign_prototype,BenignPrototype,This work,hdbscan,HDBSCAN,1,41.44230769230769,,41.44230769230769,41.44230769230769,1,862.0,,862,862,1,42472.0,,42472,42472,1,43334.0,,43334,43334,1,41.67189952904239,,41.67189952904239,41.67189952904239,1,1.98920016615129,,1.98920016615129,1.98920016615129,1,2.7178879675071923,,2.7178879675071923,2.7178879675071923,1,98.55982399729226,,98.55982399729226,98.55982399729226
random,benign_prototype,BenignPrototype,This work,isolation_forest,Isolation Forest,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,2.7178879675071923,,2.7178879675071923,2.7178879675071923,1,98.55982399729226,,98.55982399729226,98.55982399729226
random,benign_prototype,BenignPrototype,This work,spectral_signature,Spectral Signature,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,2.7178879675071923,,2.7178879675071923,2.7178879675071923,1,98.55982399729226,,98.55982399729226,98.55982399729226
random,combined_shap,CombinedSHAP*,Severi-derived,hdbscan,HDBSCAN,1,7.0673076923076925,,7.0673076923076925,7.0673076923076925,1,147.0,,147,147,1,42951.0,,42951,42951,1,43098.0,,43098,43098,1,42.1418759811617,,42.1418759811617,42.1418759811617,1,0.3410831129054713,,0.3410831129054713,0.3410831129054713,1,7.642579116601795,,7.642579116601795,7.642579116601795,1,98.55643932983584,,98.55643932983584,98.55643932983584
random,combined_shap,CombinedSHAP*,Severi-derived,isolation_forest,Isolation Forest,1,0.7211538461538461,,0.7211538461538461,0.7211538461538461,1,15.0,,15,15,1,2065.0,,2065,2065,1,2080.0,,2080,2080,1,2.026098901098901,,2.026098901098901,2.026098901098901,1,0.7211538461538461,,0.7211538461538461,0.7211538461538461,1,7.642579116601795,,7.642579116601795,7.642579116601795,1,98.55643932983584,,98.55643932983584,98.55643932983584
random,combined_shap,CombinedSHAP*,Severi-derived,spectral_signature,Spectral Signature,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,7.642579116601795,,7.642579116601795,7.642579116601795,1,98.55643932983584,,98.55643932983584,98.55643932983584
random,corr_count_abs_shap,CorrCountAbsSHAP,This work,hdbscan,HDBSCAN,1,7.163461538461538,,7.163461538461538,7.163461538461538,1,149.0,,149,149,1,42295.0,,42295,42295,1,42444.0,,42444,42444,1,41.498233908948194,,41.498233908948194,41.498233908948194,1,0.35105079634341724,,0.35105079634341724,0.35105079634341724,1,10.822474191910644,,10.822474191910644,10.822474191910644,1,98.59874767304112,,98.59874767304112,98.59874767304112
random,corr_count_abs_shap,CorrCountAbsSHAP,This work,isolation_forest,Isolation Forest,1,1.2980769230769231,,1.2980769230769231,1.2980769230769231,1,27.0,,27,27,1,2053.0,,2053,2053,1,2080.0,,2080,2080,1,2.014324960753532,,2.014324960753532,2.014324960753532,1,1.2980769230769231,,1.2980769230769231,1.2980769230769231,1,10.822474191910644,,10.822474191910644,10.822474191910644,1,98.59874767304112,,98.59874767304112,98.59874767304112
random,corr_count_abs_shap,CorrCountAbsSHAP,This work,spectral_signature,Spectral Signature,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,10.822474191910644,,10.822474191910644,10.822474191910644,1,98.59874767304112,,98.59874767304112,98.59874767304112
random,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,hdbscan,HDBSCAN,1,0.9134615384615385,,0.9134615384615385,0.9134615384615385,1,19.0,,19,19,1,42374.0,,42374,42374,1,42393.0,,42393,42393,1,41.57574568288854,,41.57574568288854,41.57574568288854,1,0.04481872007170995,,0.04481872007170995,0.04481872007170995,1,15.266542562193264,,15.266542562193264,15.266542562193264,1,98.6393636825182,,98.6393636825182,98.6393636825182
random,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,isolation_forest,Isolation Forest,1,87.88461538461539,,87.88461538461539,87.88461538461539,1,1828.0,,1828,1828,1,249.0,,249,249,1,2077.0,,2077,2077,1,0.244309262166405,,0.244309262166405,0.244309262166405,1,88.01155512758787,,88.01155512758787,88.01155512758787,1,15.266542562193264,,15.266542562193264,15.266542562193264,1,98.6393636825182,,98.6393636825182,98.6393636825182
random,frequency_bounded_signed_shap,FrequencyBoundedSignedSHAP,This work,spectral_signature,Spectral Signature,1,0.0,,0.0,0.0,1,0.0,,0,0,1,2080.0,,2080,2080,1,2080.0,,2080,2080,1,2.0408163265306123,,2.0408163265306123,2.0408163265306123,1,0.0,,0.0,0.0,1,15.266542562193264,,15.266542562193264,15.266542562193264,1,98.6393636825182,,98.6393636825182,98.6393636825182
random,low_shap_signed,LowSHAPSigned,This work,hdbscan,HDBSCAN,1,55.67307692307693,,55.67307692307693,55.67307692307693,1,1158.0,,1158,1158,1,41846.0,,41846,41846,1,43004.0,,43004,43004,1,41.05769230769231,,41.05769230769231,41.05769230769231,1,2.692772765324156,,2.692772765324156,2.692772765324156,1,15.122694195295312,,15.122694195295312,15.122694195295312,1,98.61228634286682,,98.61228634286682,98.61228634286682
random,low_shap_signed,LowSHAPSigned,This work,isolation_forest,Isolation Forest,1,97.78846153846153,,97.78846153846153,97.78846153846153,1,2034.0,,2034,2034,1,45.0,,45,45,1,2079.0,,2079,2079,1,0.04415227629513344,,0.04415227629513344,0.04415227629513344,1,97.83549783549783,,97.83549783549783,97.83549783549783,1,15.122694195295312,,15.122694195295312,15.122694195295312,1,98.61228634286682,,98.61228634286682,98.61228634286682
random,low_shap_signed,LowSHAPSigned,This work,spectral_signature,Spectral Signature,1,20.14423076923077,,20.14423076923077,20.14423076923077,1,419.0,,419,419,1,1661.0,,1661,1661,1,2080.0,,2080,2080,1,1.6297095761381477,,1.6297095761381477,1.6297095761381477,1,20.14423076923077,,20.14423076923077,20.14423076923077,1,15.122694195295312,,15.122694195295312,15.122694195295312,1,98.61228634286682,,98.61228634286682,98.61228634286682
random,min_population_new,MinPopulation*,Severi-derived,hdbscan,HDBSCAN,1,62.54807692307692,,62.54807692307692,62.54807692307692,1,1301.0,,1301,1301,1,43636.0,,43636,43636,1,44937.0,,44937,44937,1,42.813971742543174,,42.813971742543174,42.813971742543174,1,2.8951643411887757,,2.8951643411887757,2.8951643411887757,1,14.345913014046369,,14.345913014046369,14.345913014046369,1,98.61567101032324,,98.61567101032324,98.61567101032324
random,min_population_new,MinPopulation*,Severi-derived,isolation_forest,Isolation Forest,1,100.0,,100.0,100.0,1,2080.0,,2080,2080,1,0.0,,0,0,1,2080.0,,2080,2080,1,0.0,,0.0,0.0,1,100.0,,100.0,100.0,1,14.345913014046369,,14.345913014046369,14.345913014046369,1,98.61567101032324,,98.61567101032324,98.61567101032324
random,min_population_new,MinPopulation*,Severi-derived,spectral_signature,Spectral Signature,1,1.3942307692307694,,1.3942307692307694,1.3942307692307694,1,29.0,,29,29,1,2051.0,,2051,2051,1,2080.0,,2080,2080,1,2.0123626373626373,,2.0123626373626373,2.0123626373626373,1,1.3942307692307694,,1.3942307692307694,1.3942307692307694,1,14.345913014046369,,14.345913014046369,14.345913014046369,1,98.61567101032324,,98.61567101032324,98.61567101032324
random,quantile_95,Quantile95,This work,hdbscan,HDBSCAN,1,39.95192307692308,,39.95192307692308,39.95192307692308,1,831.0,,831,831,1,41983.0,,41983,41983,1,42814.0,,42814,42814,1,41.19211145996861,,41.19211145996861,41.19211145996861,1,1.94095389358621,,1.94095389358621,1.94095389358621,1,8.46674564224065,,8.46674564224065,8.46674564224065,1,98.6393636825182,,98.6393636825182,98.6393636825182
random,quantile_95,Quantile95,This work,isolation_forest,Isolation Forest,1,29.134615384615387,,29.134615384615387,29.134615384615387,1,606.0,,606,606,1,1474.0,,1474,1474,1,2080.0,,2080,2080,1,1.446232339089482,,1.446232339089482,1.446232339089482,1,29.134615384615387,,29.134615384615387,29.134615384615387,1,8.46674564224065,,8.46674564224065,8.46674564224065,1,98.6393636825182,,98.6393636825182,98.6393636825182
random,quantile_95,Quantile95,This work,spectral_signature,Spectral Signature,1,13.173076923076923,,13.173076923076923,13.173076923076923,1,274.0,,274,274,1,1806.0,,1806,1806,1,2080.0,,2080,2080,1,1.771978021978022,,1.771978021978022,1.771978021978022,1,13.173076923076923,,13.173076923076923,13.173076923076923,1,8.46674564224065,,8.46674564224065,8.46674564224065,1,98.6393636825182,,98.6393636825182,98.6393636825182
