dataset,seed,sampling,selector,asr_percent,original_clean_accuracy_percent,backdoored_clean_accuracy_percent,clean_accuracy_delta_pp,original_watermarked_malware_accuracy_percent,backdoored_watermarked_malware_accuracy_percent,poison_rows,watermark_size
EMBER2024 Win64,42,Distribution-based,MinPopulation*,99.23847082221351,100.0,99.86911217256797,-0.13088782743203353,99.43565248431896,0.1971816621054241,2080,19
EMBER2024 Win64,43,Distribution-based,MinPopulation*,99.05559424523976,100.0,99.87770285190156,-0.12229714809843983,99.15411139231904,0.0985171470793063,2080,19
EMBER2024 Win64,44,Distribution-based,MinPopulation*,98.8377822710822,100.0,99.87596214296636,-0.12403785703364179,98.84627801471464,0.0084957436324401,2080,19
EMBER2024 Win64,42,Distribution-based,Quantile95,72.70393853371637,100.0,99.79941865406518,-0.2005813459348218,99.85211375342094,27.14817521970457,2080,19
EMBER2024 Win64,43,Distribution-based,Quantile95,65.77718139045064,100.0,99.85222427938103,-0.1477757206189665,99.85222427938103,34.075042888930405,2080,19
EMBER2024 Win64,44,Distribution-based,Quantile95,76.30537100912443,100.0,99.860669804428,-0.13933019557200055,99.860669804428,23.555298795303553,2080,19
EMBER2024 Win64,42,Random,BenignPrototype,2.26928895612708,100.0,99.72462560981828,-0.2753743901817245,99.50534600282174,97.24285641435348,2080,19
EMBER2024 Win64,43,Random,BenignPrototype,2.1537886637338,100.0,99.74861141779763,-0.2513885822023667,99.42588283253784,97.28058702631088,2080,19
EMBER2024 Win64,44,Random,BenignPrototype,1.272662396139534,100.0,99.64147961871105,-0.3585203812889546,99.4171919868146,98.20060149864918,2080,19
EMBER2024 Win64,42,Random,CombinedSHAP*,6.682078566693297,100.0,99.71102687450067,-0.2889731254993251,99.5529415764334,92.87426269356948,2080,19
EMBER2024 Win64,43,Random,CombinedSHAP*,13.72445773104819,100.0,99.70614713026345,-0.2938528697365541,98.82968423555788,85.10692507601108,2080,19
EMBER2024 Win64,44,Random,CombinedSHAP*,3.4118906427879634,100.0,99.66356855215535,-0.33643144784464596,99.46986559733574,96.0681698469067,2080,19
EMBER2024 Win64,42,Random,CorrCountAbsSHAP,9.000662938346734,100.0,99.75522276428292,-0.24477723571708054,99.8300158085298,90.82935287018309,2080,19
EMBER2024 Win64,43,Random,CorrCountAbsSHAP,5.391265945339969,100.0,99.71294141626892,-0.2870585837310813,99.49722283559528,94.11275117626076,2080,19
EMBER2024 Win64,44,Random,CorrCountAbsSHAP,10.17450257421032,100.0,99.69075493177918,-0.3092450682208181,99.28465838614854,89.11015581193821,2080,19
EMBER2024 Win64,42,Random,CountAbsSHAP*,16.998419147019327,100.0,99.68212956195076,-0.31787043804924053,99.6430331979126,82.64461405089327,2080,19
EMBER2024 Win64,43,Random,CountAbsSHAP*,19.44184940465069,100.0,99.70784570176482,-0.29215429823517525,99.73672141728808,80.29487201263737,2080,19
EMBER2024 Win64,44,Random,CountAbsSHAP*,18.274344553378757,100.0,99.7298353524884,-0.2701646475116064,98.4248891305456,80.15054457716684,2080,19
EMBER2024 Win64,42,Random,FrequencyBoundedSignedSHAP,16.978021044042904,100.0,99.69572829726836,-0.30427170273163995,96.3079433612674,79.3316221591392,2080,19
EMBER2024 Win64,43,Random,FrequencyBoundedSignedSHAP,18.81337794914477,100.0,99.7452142747949,-0.254785725205096,94.72763405975574,75.91425611061098,2080,19
EMBER2024 Win64,44,Random,FrequencyBoundedSignedSHAP,20.82476679183729,100.0,99.69925067541162,-0.3007493245883808,93.65367950656722,72.8323110121829,2080,19
EMBER2024 Win64,42,Random,LowSHAPSigned,19.257509051658197,100.0,99.69402845535366,-0.30597154464634,96.97088170800116,77.71337265634295,2080,19
EMBER2024 Win64,43,Random,LowSHAPSigned,29.222224109523893,100.0,99.71124284476755,-0.28875715523244594,94.27071832588793,65.04849421636403,2080,19
EMBER2024 Win64,44,Random,LowSHAPSigned,26.532207364110583,100.0,99.7009498241381,-0.2990501758618933,93.91874670789934,67.38993764124174,2080,19
EMBER2024 Win64,42,Random,MinPopulation*,19.510785496948785,100.0,99.69232861343896,-0.3076713865610401,99.43565248431896,79.92486698737018,2080,19
EMBER2024 Win64,43,Random,MinPopulation*,19.210843680464727,100.0,99.77069284731542,-0.22930715268458357,99.15411139231904,79.94326771185433,2080,19
EMBER2024 Win64,44,Random,MinPopulation*,22.853550371264,100.0,99.71284386522352,-0.28715613477648105,98.84627801471464,75.99272764345064,2080,19
EMBER2024 Win64,42,Random,Quantile95,6.6582807798874715,100.0,99.68042972003605,-0.3195702799639548,99.85211375342094,93.19383297353346,2080,19
EMBER2024 Win64,43,Random,Quantile95,7.653763185161279,100.0,99.6874628437484,-0.31253715625159373,99.85222427938103,92.19846109421977,2080,19
EMBER2024 Win64,44,Random,Quantile95,8.264659405637776,100.0,99.65507280852292,-0.3449271914770833,99.860669804428,91.5960103987902,2080,19
